"state","year","quarter","HPI_not_seasonally_adjusted","HPI_seasonally_adjusted"
"KY",2006,3,189.44,188.34
"KY",2006,4,188.52,189.45
"KY",2007,1,189.14,190.97
"KY",2007,2,193.36,192.34
"KY",2007,3,192.53,191.18
"KY",2007,4,191.83,192.95
"KY",2008,1,189.66,191.76
"KY",2008,2,193.87,192.63
"KY",2008,3,193.98,192.47
"KY",2008,4,189.23,190.45
"KY",2009,1,188.47,190.72
"LA",2000,1,153.5,153.34
"LA",2000,2,156.27,155.36
"LA",2000,3,156.95,155.92
"LA",2000,4,156.39,156.2
"LA",2001,1,158.37,158.19
"LA",2001,2,160.81,159.89
"LA",2001,3,162.9,161.83
"LA",2001,4,163.99,163.77
"LA",2002,1,163.85,163.64
"LA",2002,2,167.56,166.64
"LA",2002,3,169.4,168.28
"LA",2002,4,170.96,170.73
"LA",2003,1,173.89,173.67
"LA",2003,2,175.43,174.46
"LA",2003,3,178.45,177.29
"LA",2003,4,180.43,180.17
"LA",2004,1,182.57,182.34
"LA",2004,2,187.28,186.26
"LA",2004,3,190.05,188.83
"LA",2004,4,191.39,191.07
"LA",2005,1,194.26,194.03
"LA",2005,2,198.76,197.67
"LA",2005,3,202.23,200.97
"LA",2005,4,212.39,211.99
"LA",2006,1,218.04,217.78
"LA",2006,2,223,221.81
"LA",2006,3,227.29,225.87
"LA",2006,4,229.97,229.51
"LA",2007,1,232.1,231.86
"LA",2007,2,234.97,233.69
"LA",2007,3,237.73,236.25
"LA",2007,4,235.89,235.42
"LA",2008,1,234.37,234.14
"LA",2008,2,236.02,234.71
"LA",2008,3,233.79,232.33
"LA",2008,4,231.4,230.94
"LA",2009,1,230.45,230.25
"MA",2000,1,140.4,140.8
"MA",2000,2,148.1,146.29
"MA",2000,3,153.42,150.85
"MA",2000,4,157.72,156.88
"MA",2001,1,162.61,163.1
"MA",2001,2,170.07,168.02
"MA",2001,3,176.49,173.52
"MA",2001,4,179.08,178.14
"MA",2002,1,182.49,182.96
"MA",2002,2,192.26,189.94
"MA",2002,3,200.72,197.42
"MA",2002,4,204.06,203.07
"MA",2003,1,206.55,206.87
"MA",2003,2,214.4,211.83
"MA",2003,3,219.77,216.27
"MA",2003,4,224.82,223.94
"MA",2004,1,228.99,228.98
"MA",2004,2,236.5,233.59
"MA",2004,3,243.37,239.76
"MA",2004,4,244.31,243.62
"MA",2005,1,248.74,248.19
"MA",2005,2,255.96,252.75
"MA",2005,3,257.33,253.84
"MA",2005,4,254.99,254.6
"MA",2006,1,254.6,253.45
"MA",2006,2,252.43,249.13
"MA",2006,3,250.17,247.21
"MA",2006,4,243.68,243.53
"MA",2007,1,242.71,241.08
"MA",2007,2,245.81,242.58
"MA",2007,3,241.65,239.1
"MA",2007,4,237.58,237.56
"MA",2008,1,236.63,234.7
"MA",2008,2,232.69,229.56
"MA",2008,3,228.38,226.26
"MA",2008,4,225.42,225.43
"MA",2009,1,229.19,227.1
"MD",2000,1,115.44,115.18
"MD",2000,2,119.2,117.86
"MD",2000,3,121.48,120.02
"MD",2000,4,122.77,122.01
"MD",2001,1,125.14,125.09
"MD",2001,2,130.39,128.89
"MD",2001,3,134.23,132.36
"MD",2001,4,137.17,136.42
"MD",2002,1,140.03,140.14
