"stateFIPS","countyFIPS","total","vac","nostat","vac_days","nostat_days"
18,21,11836,395,1164,235647,962664
18,23,12924,493,1000,223315,792796
18,25,5284,591,544,316232,394490
18,27,16566,382,5988,210159,7045136
18,29,20863,608,851,305564,726760
18,31,11112,187,908,102499,657738
18,33,18032,797,1814,334442,1620151
18,35,53348,3692,2668,2297190,1892247
18,37,17593,232,1345,121309,1233071
18,39,78293,3523,4045,1705059,3207700
18,41,11433,635,498,388556,426455
18,43,32668,1542,672,761041,536066
18,45,7835,313,627,168315,461367
18,47,8986,186,404,95389,320389
18,49,9334,188,1061,111877,835954
18,51,18132,1106,4885,651768,4475858
18,53,32030,2070,3227,1298213,3184873
18,55,15706,512,3735,328316,2243681
18,57,111405,1055,10540,455992,8716164
18,59,29074,544,2151,234338,1752846
18,61,16201,875,630,433580,582885
18,63,59075,433,6294,159400,5349847
18,65,20734,1281,999,819515,873857
18,67,40140,2590,1694,1569604,1446884
18,69,15855,808,1274,439909,876527
18,71,18482,601,1064,281228,828655
18,73,13285,118,1304,58705,898192
18,75,8758,351,648,208380,551207
18,77,16291,629,2530,328419,2529940
18,79,12048,147,1168,80060,857764
18,81,58374,1498,3998,503469,3442283
18,83,16537,930,1294,617162,1064775
18,85,34130,464,2967,266438,2201757
18,87,12919,484,932,305019,735316
18,89,212011,14696,7262,9883781,5568455
18,91,47967,2174,2517,1210672,1799585
18,93,28770,643,9646,400915,11078918
